Device: PM2003004		2022:01:13    13:25:16.602  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4180mV ST:0 ERR:0000;  MUX data; S: 87 I:143 R:200.000 C:1.094p F:  208 E:  8)
Excitation level, V:	3.50
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0.6
Ampermeter Range, A:	15.0m
Step Period, ms:	5
R transimp:	200
C transimp:	1.1p
Measurement Table: 	USER_FRAM  208

Freq, Hz	1.0k	2.0k	3.0k	7.0k	11.0k	17.0k	23.0k	31.0k	43.0k	61.0k	89.0k	127.0k	179.0k	251.0k	349.0k	1.0k	2.0k	3.0k	7.0k	11.0k	17.0k	23.0k	31.0k	43.0k	61.0k	89.0k	127.0k	179.0k	251.0k	349.0k
	run	1	2022:01:13    13:25:16.607
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA

0.000	27.661	27.657	27.653	27.653	27.658	27.656	27.658	27.651	27.655	27.645	27.642	27.644	27.646	27.647	27.645	0.004	0.000	-0.005	-0.001	-0.002	-0.005	-0.006	-0.007	-0.008	-0.006	-0.002	0.004	-0.001	0.001	0.001	0.303	10.913
1.000	10.433	10.428	10.426	10.411	10.427	10.425	10.421	10.416	10.423	10.402	10.397	10.390	10.374	10.370	10.344	0.010	-0.002	-0.007	-0.002	-0.002	-0.017	-0.011	-0.016	-0.019	-0.026	-0.028	-0.033	-0.039	-0.035	-0.030	0.115	10.906
2.000	3.927	3.915	3.915	3.894	3.917	3.917	3.911	3.905	3.913	3.887	3.881	3.874	3.856	3.843	3.804	0.016	0.004	-0.015	-0.003	-0.004	-0.021	-0.016	-0.018	-0.025	-0.037	-0.036	-0.043	-0.052	-0.056	-0.047	0.045	10.906
3.000	-0.486	-0.490	-0.491	-0.510	-0.490	-0.490	-0.495	-0.501	-0.495	-0.514	-0.514	-0.520	-0.542	-0.561	-0.605	0.008	-0.004	-0.009	-0.003	-0.001	-0.017	-0.012	-0.018	-0.021	-0.031	-0.033	-0.040	-0.062	-0.062	-0.057	0.007	10.898
4.000	-5.565	-5.575	-5.571	-5.604	-5.573	-5.573	-5.582	-5.588	-5.578	-5.604	-5.606	-5.615	-5.643	-5.671	-5.737	0.012	-0.003	-0.011	-0.001	-0.001	-0.022	-0.017	-0.022	-0.025	-0.043	-0.045	-0.059	-0.086	-0.092	-0.083	0.062	10.898
5.000	-16.186	-16.199	-16.190	-16.224	-16.193	-16.190	-16.199	-16.209	-16.198	-16.227	-16.230	-16.240	-16.279	-16.319	-16.407	0.016	-0.007	-0.011	-0.003	-0.001	-0.027	-0.021	-0.028	-0.032	-0.053	-0.060	-0.079	-0.114	-0.122	-0.110	0.176	10.891
6.000	-27.956	-27.966	-27.969	-28.000	-27.968	-27.970	-27.978	-27.986	-27.973	-28.007	-28.008	-28.018	-28.051	-28.081	-28.158	0.027	-0.007	-0.016	-0.005	-0.003	-0.028	-0.019	-0.025	-0.031	-0.048	-0.051	-0.069	-0.099	-0.105	-0.095	0.303	10.891
7.000	-16.191	-16.195	-16.190	-16.220	-16.193	-16.192	-16.201	-16.207	-16.198	-16.219	-16.213	-16.216	-16.229	-16.232	-16.261	0.015	-0.007	-0.008	0.003	0.002	-0.017	-0.006	-0.014	-0.010	-0.019	-0.014	-0.016	-0.031	-0.028	-0.031	0.176	10.898
8.000	-5.573	-5.580	-5.575	-5.605	-5.582	-5.580	-5.589	-5.594	-5.587	-5.610	-5.611	-5.615	-5.639	-5.655	-5.707	0.017	-0.006	-0.010	-0.004	-0.001	-0.021	-0.012	-0.018	-0.021	-0.035	-0.034	-0.042	-0.063	-0.070	-0.060	0.062	10.898
9.000	-0.503	-0.505	-0.506	-0.526	-0.507	-0.507	-0.513	-0.517	-0.513	-0.530	-0.533	-0.538	-0.557	-0.572	-0.612	0.014	-0.006	-0.006	-0.002	0.001	-0.016	-0.012	-0.015	-0.017	-0.029	-0.030	-0.037	-0.053	-0.056	-0.051	0.007	10.898
10.000	3.909	3.902	3.896	3.878	3.901	3.898	3.893	3.888	3.894	3.870	3.863	3.855	3.837	3.826	3.785	0.012	-0.002	-0.015	-0.002	-0.003	-0.021	-0.017	-0.020	-0.025	-0.038	-0.036	-0.041	-0.052	-0.052	-0.047	0.044	10.906
11.000	10.422	10.416	10.414	10.399	10.417	10.415	10.411	10.405	10.411	10.391	10.385	10.376	10.361	10.352	10.321	0.008	0.001	-0.009	-0.003	-0.005	-0.018	-0.013	-0.018	-0.024	-0.033	-0.034	-0.037	-0.044	-0.039	-0.037	0.115	10.906
12.000	27.608	27.604	27.602	27.599	27.606	27.600	27.603	27.600	27.602	27.592	27.587	27.584	27.590	27.587	27.585	0.006	0.002	-0.006	-0.001	-0.004	-0.008	-0.006	-0.009	-0.011	-0.013	-0.007	-0.002	-0.007	-0.002	-0.001	0.302	10.906
13.000	27.661	27.657	27.653	27.651	27.656	27.655	27.656	27.653	27.656	27.645	27.645	27.642	27.646	27.640	27.638	0.004	0.001	-0.007	-0.001	-0.005	-0.006	-0.008	-0.008	-0.009	-0.009	-0.004	-0.002	-0.005	-0.002	-0.003	0.303	10.906
14.000	27.637	27.635	27.630	27.628	27.634	27.630	27.632	27.630	27.632	27.622	27.620	27.620	27.626	27.628	27.633	0.004	-0.001	-0.006	-0.002	-0.004	-0.006	-0.004	-0.004	-0.006	-0.004	-0.001	0.008	0.006	0.009	0.009	0.302	10.906
15.000	10.427	10.420	10.424	10.405	10.425	10.422	10.415	10.412	10.418	10.397	10.393	10.387	10.375	10.367	10.344	0.010	0.001	-0.010	-0.001	-0.001	-0.014	-0.013	-0.014	-0.016	-0.026	-0.028	-0.031	-0.036	-0.029	-0.028	0.115	10.906
16.000	3.926	3.917	3.915	3.897	3.921	3.917	3.910	3.906	3.914	3.891	3.884	3.877	3.864	3.851	3.814	0.016	-0.004	-0.009	-0.001	-0.004	-0.019	-0.015	-0.018	-0.022	-0.034	-0.032	-0.038	-0.047	-0.048	-0.044	0.045	10.906
