INDEX,EX+,EX-,V+,V-
1, 1, 10, 2, 11 
2, 1, 10, 3, 12 
3, 1, 10, 4, 13 
4, 1, 10, 5, 14 
5, 1, 10, 6, 15 
6, 1, 10, 7, 16 
7, 1, 10, 9, 2 
8, 1, 10, 11, 4 
9, 1, 10, 12, 5 
10, 1, 10, 13, 6 
11, 1, 10, 14, 7 
12, 1, 10, 15, 8 
13, 1, 10, 16, 9 
14, 2, 11, 1, 10 
15, 2, 11, 3, 12 
16, 2, 11, 4, 13 
17, 2, 11, 5, 14 
18, 2, 11, 6, 15 
19, 2, 11, 7, 16 
20, 2, 11, 8, 1 
21, 2, 11, 10, 3 
22, 2, 11, 12, 5 
23, 2, 11, 13, 6 
24, 2, 11, 14, 7 
25, 2, 11, 15, 8 
26, 2, 11, 16, 9 
27, 3, 12, 1, 10 
28, 3, 12, 2, 11 
29, 3, 12, 4, 13 
30, 3, 12, 5, 14 
31, 3, 12, 6, 15 
32, 3, 12, 7, 16 
33, 3, 12, 8, 1 
34, 3, 12, 9, 2 
35, 3, 12, 11, 4 
36, 3, 12, 13, 6 
37, 3, 12, 14, 7 
38, 3, 12, 15, 8 
39, 3, 12, 16, 9 
40, 4, 13, 1, 10 
41, 4, 13, 2, 11 
42, 4, 13, 3, 12 
43, 4, 13, 5, 14 
44, 4, 13, 6, 15 
45, 4, 13, 7, 16 
46, 4, 13, 8, 1 
47, 4, 13, 9, 2 
48, 4, 13, 10, 3 
49, 4, 13, 12, 5 
50, 4, 13, 14, 7 
51, 4, 13, 15, 8 
52, 4, 13, 16, 9 
53, 5, 14, 1, 10 
54, 5, 14, 2, 11 
55, 5, 14, 3, 12 
56, 5, 14, 4, 13 
57, 5, 14, 6, 15 
58, 5, 14, 7, 16 
59, 5, 14, 8, 1 
60, 5, 14, 9, 2 
61, 5, 14, 10, 3 
62, 5, 14, 11, 4 
63, 5, 14, 13, 6 
64, 5, 14, 15, 8 
65, 5, 14, 16, 9 
66, 6, 15, 1, 10 
67, 6, 15, 2, 11 
68, 6, 15, 3, 12 
69, 6, 15, 4, 13 
70, 6, 15, 5, 14 
71, 6, 15, 7, 16 
72, 6, 15, 8, 1 
73, 6, 15, 9, 2 
74, 6, 15, 10, 3 
75, 6, 15, 11, 4 
76, 6, 15, 12, 5 
77, 6, 15, 14, 7 
78, 6, 15, 16, 9 
79, 7, 16, 1, 10 
80, 7, 16, 2, 11 
81, 7, 16, 3, 12 
82, 7, 16, 4, 13 
83, 7, 16, 5, 14 
84, 7, 16, 6, 15 
85, 7, 16, 8, 1 
86, 7, 16, 9, 2 
87, 7, 16, 10, 3 
88, 7, 16, 11, 4 
89, 7, 16, 12, 5 
90, 7, 16, 13, 6 
91, 7, 16, 15, 8 
92, 8, 1, 2, 11 
93, 8, 1, 3, 12 
94, 8, 1, 4, 13 
95, 8, 1, 5, 14 
96, 8, 1, 6, 15 
97, 8, 1, 7, 16 
98, 8, 1, 9, 2 
99, 8, 1, 10, 3 
100, 8, 1, 11, 4 
101, 8, 1, 12, 5 
102, 8, 1, 13, 6 
103, 8, 1, 14, 7 
104, 8, 1, 16, 9 
105, 9, 2, 1, 10 
106, 9, 2, 3, 12 
107, 9, 2, 4, 13 
108, 9, 2, 5, 14 
109, 9, 2, 6, 15 
110, 9, 2, 7, 16 
111, 9, 2, 8, 1 
112, 9, 2, 10, 3 
113, 9, 2, 11, 4 
114, 9, 2, 12, 5 
115, 9, 2, 13, 6 
116, 9, 2, 14, 7 
117, 9, 2, 15, 8 
118, 10, 3, 2, 11 
119, 10, 3, 4, 13 
120, 10, 3, 5, 14 
121, 10, 3, 6, 15 
122, 10, 3, 7, 16 
123, 10, 3, 8, 1 
124, 10, 3, 9, 2 
125, 10, 3, 11, 4 
126, 10, 3, 12, 5 
127, 10, 3, 13, 6 
128, 10, 3, 14, 7 
129, 10, 3, 15, 8 
130, 10, 3, 16, 9 
131, 11, 4, 1, 10 
132, 11, 4, 3, 12 
133, 11, 4, 5, 14 
134, 11, 4, 6, 15 
135, 11, 4, 7, 16 
136, 11, 4, 8, 1 
137, 11, 4, 9, 2 
138, 11, 4, 10, 3 
139, 11, 4, 12, 5 
140, 11, 4, 13, 6 
141, 11, 4, 14, 7 
142, 11, 4, 15, 8 
143, 11, 4, 16, 9 
144, 12, 5, 1, 10 
145, 12, 5, 2, 11 
146, 12, 5, 4, 13 
147, 12, 5, 6, 15 
148, 12, 5, 7, 16 
149, 12, 5, 8, 1 
150, 12, 5, 9, 2 
151, 12, 5, 10, 3 
152, 12, 5, 11, 4 
153, 12, 5, 13, 6 
154, 12, 5, 14, 7 
155, 12, 5, 15, 8 
156, 12, 5, 16, 9 
157, 13, 6, 1, 10 
158, 13, 6, 2, 11 
159, 13, 6, 3, 12 
160, 13, 6, 5, 14 
161, 13, 6, 7, 16 
162, 13, 6, 8, 1 
163, 13, 6, 9, 2 
164, 13, 6, 10, 3 
165, 13, 6, 11, 4 
166, 13, 6, 12, 5 
167, 13, 6, 14, 7 
168, 13, 6, 15, 8 
169, 13, 6, 16, 9 
170, 14, 7, 1, 10 
171, 14, 7, 2, 11 
172, 14, 7, 3, 12 
173, 14, 7, 4, 13 
174, 14, 7, 6, 15 
175, 14, 7, 8, 1 
176, 14, 7, 9, 2 
177, 14, 7, 10, 3 
178, 14, 7, 11, 4 
